ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
12877;TotalErg;45.7126945;13.0126603;;;Marson Luigino;Gasolio;1.999;Servito;09/06/2022 08:08:16;08
12877;TotalErg;45.7126945;13.0126603;;;Marson Luigino;Gasolio;1.999;SelfService;09/06/2022 08:08:16;08
12906;Europam;45.4917557;12.1193673;;;Europam S.R.L.;Gasolio;1.927;SelfService;08/06/2022 17:36:20;07
13020;;46.1146394;12.9575587;;;Bezzutti Paolo;Gasolio;1.998;SelfService;08/06/2022 10:26:42;08
13037;;46.1153888;13.5053418;;;Terlicher Antonio & C. S.N.C.;Gasolio;1.944;Servito;08/06/2022 11:51:44;08
13037;;46.1153888;13.5053418;;;Terlicher Antonio & C. S.N.C.;Gasolio;1.944;SelfService;08/06/2022 11:51:44;08
13109;Agip;45.8985020;12.5768410;;;Bertolo Mauro & C. S.N.C.;Gasolio;1.909;SelfService;08/06/2022 19:45:41;07
13109;Agip;45.8985020;12.5768410;;;Bertolo Mauro & C. S.N.C.;Gasolio;2.119;Servito;08/06/2022 19:45:41;08
13135;Agip;46.1605480;12.6858900;;;Del Mistro Giannina In Cristofoli;Gasolio;1.944;SelfService;09/06/2022 08:35:54;08
13485;IP;45.9636840;12.4336910;;;Santin Aldo;Gasolio;1.879;Servito;06/06/2022 12:14:55;07
13485;IP;45.9636840;12.4336910;;;Santin Aldo;Gasolio;1.879;SelfService;06/06/2022 12:14:55;07
13665;IP;46.3683142;13.0392150;;;Distributore Ip Billiani Lilia;Gasolio;2.004;Servito;08/06/2022 09:01:32;08
13681;Agip;45.9777330;12.5748810;;;Fontanagomme di Del Ben Cristian & Carpene' Marinella S.N.C.;Gasolio;1.924;SelfService;09/06/2022 09:04:19;07
13689;Agip;45.9459880;12.9767420;;;Pituello Stefano;Gasolio;1.924;SelfService;09/06/2022 15:47:07;07
13865;;46.1581040;13.2437564;;;Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.;Gasolio;1.959;Servito;08/06/2022 07:51:27;08
13872;Tamoil;46.0367069;13.2462681;;;Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.;Gasolio;1.979;Servito;09/06/2022 08:29:19;08
13942;De Cleva e Bernardini;45.6383374;13.8156217;;;De Cleva e Bernardini di De Cleva Paolo & C. S.A.S.;Gasolio;1.959;Servito;08/06/2022 17:58:04;08
13942;De Cleva e Bernardini;45.6383374;13.8156217;;;De Cleva e Bernardini di De Cleva Paolo & C. S.A.S.;Gasolio;1.959;SelfService;08/06/2022 17:58:04;08
13947;Lonza e Coglievina S.r.l.;45.6834599;13.7822936;;;Lonza & Coglievina Società a Responsabilità Limitata;Gasolio;1.935;SelfService;03/06/2022 06:42:23;07
