ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
16077;IP;46.2006007;13.2642323;;;Migueletto Raul Guillermo;Benzina;1.589;Servito;20221227;07
16077;IP;46.2006007;13.2642323;;;Migueletto Raul Guillermo;Benzina;1.589;SelfService;20221227;07
16297;Esso;45.1970788;12.2868867;;;Volta Celeste di Boscolo Antonio e Moretto Roberta & C. S.N.C.;Benzina;1.659;Servito;20221226;07
16297;Esso;45.1970788;12.2868867;;;Volta Celeste di Boscolo Antonio e Moretto Roberta & C. S.N.C.;Benzina;1.659;SelfService;20221226;07
16412;TotalErg;45.9504040;12.9732660;;;B. & B. di Brun Gianfranco e Stefano S.A.S.;Benzina;1.569;SelfService;20221227;07
16463;Agip;46.0594653;13.2486093;;;Meneghin Antonino & C. S.N.C.;Benzina;1.604;SelfService;20221224;07
16463;Agip;46.0594653;13.2486093;;;Meneghin Antonino & C. S.N.C.;Benzina;1.824;Servito;20221224;08
16668;Agip;45.9346690;13.6010740;;;Area 4133 S.N.C. di Sabrina Ponzalli e Paolo Macuz;Benzina;1.614;SelfService;20221227;07
16668;Agip;45.9346690;13.6010740;;;Area 4133 S.N.C. di Sabrina Ponzalli e Paolo Macuz;Benzina;1.834;Servito;20221227;08
16813;Agip;45.5815673;12.3669729;;;Baroni Massimo;Benzina;1.654;SelfService;20221225;07
16868;IP;45.6821055;13.4053797;;;S.G. di Salmeri Dario & C. S.A.S.;Benzina;1.699;Servito;20221227;07
16952;TotalErg;45.9418400;13.1678220;;;Pascut Gabriele;Benzina;1.589;SelfService;20221227;07
16952;TotalErg;45.9418400;13.1678220;;;Pascut Gabriele;Benzina;1.739;Servito;20221227;07
17047;IP;46.1659480;12.7089930;;;F.lli Pontello Srl;Benzina;1.669;Servito;20221227;07
17054;Agip;46.1853970;12.7665580;;;F.lli Pontello Srl;Benzina;1.599;SelfService;20221227;07
17054;Agip;46.1853970;12.7665580;;;F.lli Pontello Srl;Benzina;1.809;Servito;20221227;08
17483;Api;46.0015368;13.2066810;;;Piccini Leonardo;Benzina;1.569;SelfService;20221224;07
17483;Api;46.0015368;13.2066810;;;Piccini Leonardo;Benzina;1.809;Servito;20221224;08
17515;Tamoil;45.8658062;12.7337345;;;Porricelli Emilio;Benzina;1.669;Servito;20221228;07
17515;Tamoil;45.8658062;12.7337345;;;Porricelli Emilio;Benzina;1.669;SelfService;20221228;07
17552;Esso;46.0908191;13.4158393;;;Superfast Esso di Roiatti Roberto & C. S.A.S.;Benzina;1.659;Servito;20221226;07
17593;;45.4198550;12.1535490;;;Versuro Doriano;Benzina;1.639;Servito;20221227;07
17593;;45.4198550;12.1535490;;;Versuro Doriano;Benzina;1.639;SelfService;20221227;07
17626;Agip;46.0092430;13.2533310;;;Moschione Loris;Benzina;1.629;SelfService;20221227;07
17693;Tamoil;45.7933862;13.4060263;;;C.M. S.N.C. di Cosolo Giorgio & C.;Benzina;1.599;SelfService;20221224;07
18211;Tamoil;45.4485033;12.1941118;;;Marini Valter;Benzina;1.699;Servito;20221227;07
18211;Tamoil;45.4485033;12.1941118;;;Marini Valter;Benzina;1.699;SelfService;20221227;07
18571;Esso;45.8138160;13.5131410;;;Stazione di Servizio Esso F.lli Mininel di Mininel Andrea e C. S.N.C.;Benzina;1.619;SelfService;20221227;07
18877;Eni;45.8017151;13.5494263;;;Bidut Roberto - Impianto Agip Monfalcone;Benzina;1.624;SelfService;20221228;07
18877;Eni;45.8017151;13.5494263;;;Bidut Roberto - Impianto Agip Monfalcone;Benzina;1.844;Servito;20221228;08
18950;IP;45.1972460;12.2890784;;;Car Service S.A.S.Di Pasotti Michele & C.;Benzina;1.699;Servito;20221226;07
19502;Agip;46.0380017;12.6143167;;;Gi.Mi S.N.C. di Dall'Acqua Giancarlo & C.;Benzina;1.644;SelfService;20221226;07
19502;Agip;46.0380017;12.6143167;;;Gi.Mi S.N.C. di Dall'Acqua Giancarlo & C.;Benzina;1.864;Servito;20221226;08
19689;Agip;45.8054850;13.5091920;;;Bernardi di Bernardi G. & C. S.N.C.;Benzina;1.619;SelfService;20221224;07
19689;Agip;45.8054850;13.5091920;;;Bernardi di Bernardi G. & C. S.N.C.;Benzina;1.837;Servito;20221224;08
20117;IP;45.6561744;12.5353173;;;Ip Services S.R.L.;Benzina;1.619;SelfService;20221227;07
20182;IP;45.9791600;12.8011970;;;Sellan Pietro;Benzina;1.629;Servito;20221227;07
20423;ENI;45.3628794;12.0927940;;;Zoppellaro S.N.C. di Zoppellaro Vittorino & C.;Benzina;1.659;SelfService;20221227;07
20423;ENI;45.3628794;12.0927940;;;Zoppellaro S.N.C. di Zoppellaro Vittorino & C.;Benzina;1.914;Servito;20221227;08
20487;Api;46.2594462;13.1022099;;;Mi.Xo. di Xotto Michele;Benzina;1.629;SelfService;20221227;07
20487;Api;46.2594462;13.1022099;;;Mi.Xo. di Xotto Michele;Benzina;1.829;Servito;20221227;08
20739;Agip;45.9418170;12.6176260;;;Agip Alla Crose - Rotundo Giorgio;Benzina;1.669;SelfService;20221227;07
21028;Esso;46.1600694;13.2107919;;;Sostero fratelli S.N.C. di Sostero Marco & Massimo;Benzina;1.649;Servito;20221227;07
21028;Esso;46.1600694;13.2107919;;;Sostero fratelli S.N.C. di Sostero Marco & Massimo;Benzina;1.649;SelfService;20221227;07
21358;Tamoil;45.4718540;12.2290760;;;Bianco;Benzina;1.629;Servito;20221227;07
21358;Tamoil;45.4718540;12.2290760;;;Bianco;Benzina;1.629;SelfService;20221227;07
21464;ENI;45.4923287;12.1214365;;;Agip Distributore di Famengo Renzo;Benzina;1.649;SelfService;20221227;07
21531;Eni;45.4005072;12.3604859;;;Bertola Carla;Benzina;1.664;SelfService;20221224;07
21531;Eni;45.4005072;12.3604859;;;Bertola Carla;Benzina;1.874;Servito;20221224;08
21544;Delle Vedove;45.9503343;12.6957369;;;Val.Gre.Ca. S.R.L.;Benzina;1.589;SelfService;20221227;07
21922;Erg;45.5052190;12.6260160;;;Fuel Mix S.N.C. di Gottardo Oriano & Denis;Benzina;1.639;SelfService;20221228;07
21922;Erg;45.5052190;12.6260160;;;Fuel Mix S.N.C. di Gottardo Oriano & Denis;Benzina;1.929;Servito;20221228;08
22031;IP;45.8052560;13.0859240;;;Movio Fiorenzo;Benzina;1.619;SelfService;20221227;07
22031;IP;45.8052560;13.0859240;;;Movio Fiorenzo;Benzina;1.819;Servito;20221227;08
22355;Q8;45.8942165;12.5564490;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.639;SelfService;20221225;07
22362;Agip;46.2171130;12.7843069;;;Autoservice di Sandra Zatti & C. S.N.C.;Benzina;1.599;SelfService;20221227;07
22468;ENI;45.6501985;12.5435121;;;Fuel & Service di Gaiotto Alessio e C. S.N.C.;Benzina;1.654;SelfService;20221228;07
22468;ENI;45.6501985;12.5435121;;;Fuel & Service di Gaiotto Alessio e C. S.N.C.;Benzina;1.869;Servito;20221228;08
22840;Petrol;45.7721737;12.9672226;;;Cecco Giancarlo & C. S.A.S.;Benzina;1.609;Servito;20221227;07
22840;Petrol;45.7721737;12.9672226;;;Cecco Giancarlo & C. S.A.S.;Benzina;1.609;SelfService;20221227;07
22903;Tamoil;45.9973340;12.9681160;;;Porfido S.N.C. di Porfido Claudio & C.;Benzina;1.629;Servito;20221224;07
23321;Q8;45.4851670;12.1846820;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.629;SelfService;20221226;07
23352;;45.7978063;12.9937233;;;San Marco Petroli Distribuzione S.R.L.;Benzina;1.619;SelfService;20221227;07
23426;Esso;46.1095345;13.0901780;;;Lizzi & C. S.A.S. di Bertuzzi Graziella;Benzina;1.609;Servito;20221227;07
23426;Esso;46.1095345;13.0901780;;;Lizzi & C. S.A.S. di Bertuzzi Graziella;Benzina;1.609;SelfService;20221227;07
23443;Q8 Easy;46.0941596;13.2250342;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.569;SelfService;20221224;07
23721;;45.9588696;13.4639165;;;San Marco Petroli Distribuzione S.R.L.;Benzina;1.649;SelfService;20221227;07
23802;;45.8479490;13.2128620;;;Stazione di Servizio di Tavaris Stefano;Benzina;1.599;Servito;20221227;07
23873;Q8;45.6816568;13.4170650;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.644;SelfService;20221226;07
23909;Q8;45.5398938;12.0643333;;;Rocco Moreno;Benzina;1.774;Servito;20221225;08
24034;SMP;46.1596847;12.7079370;;;San Marco Petroli Distribuzione S.R.L.;Benzina;1.619;SelfService;20221228;07
24230;Q8 Easy;45.6445161;12.5504982;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.619;SelfService;20221224;07
24313;;45.5882789;12.1378997;;;Ip Services S.R.L.;Benzina;1.639;SelfService;20221227;07
