18569;Metano;45.9742819;12.6296701;;;Medunagas - S.R.L.
4344;Agip;45.9867851;12.6878277;;;Peron Massimo
48108;Agip;46.0733050;13.2677610;;;Auto Metano Udine di Rosso Cristian & C S.A.S.
9338;Petrol;45.9674240;12.9703690;;;Armani Marta
26668;Esso;45.9698940;13.0010620;;;Uliana Mariano
40199;Agip;45.9681560;12.5173940;;;Altoe' Enrico & C. S.N.C.
;Agip;45.9100565;12.5182616;;;Agip
24965;Esso;45.9518746;12.4892959;;;Pignat Guido Eredi S.N.C. di Pignat Guido e C.
36231;Costantin;45.9599282;12.5096573;;;Costantin Distribuzione e Servizi Srl
25395;Total;45.9922949;12.5450867;;;Eredi Della Gaspera Graziano S.N.C. di Della Gaspera Beatrice & C.
13681;Agip;45.9777330;12.5748810;;;Fontanagomme di Del Ben Cristian & Carpene' Marinella S.N.C.
6347;Agip;45.9865070;12.5880560;;;Car Gold S.A.S. di Bravin Giuliano & C.
50747;DA.LE.;45.6152860;13.7908860;;;Eni Fuel S.P.A.
40869;Agip;45.9636925;12.6509826;;;La Perla S.N.C. di Mohammad Sajjad & C.
21065;Agip;45.9222570;12.6374580;;;Hoxha Bledar
24974;IP;45.9640212;12.6494279;;;Masutti Stefano
25039;IP;45.8708578;12.5633743;;;
27995;IP;45.8114000;13.0052800;;;De Paoli Silvio & C. S.N.C.
49016;IP;46.0084830;13.4367940;;;V&C Carburanti S.N.C. di Mahmood Asad & C.
39713;Total;45.9903730;12.8658910;;;Colledan Carlo e Soci S.N.C.
7269;Q8 Easy;46.4203023;13.0210435;;;Servizi & Gestioni Italia S.R.L.
29516;SMP;46.3895909;13.0260795;;;Smp Tolmezzo
33192;Agip;46.4010866;13.0223111;;;Carboil S.A.S. di Romanini Ivan & C.
40931;Tamoil;46.4171650;12.7900390;;;Martinis Maria Dora
4595;Agip;46.4155380;12.9280110;;;Gesticarb S.N.C. di Lucchini Gian Pietro e Luca Sonia
44817;IP;45.8162259;13.5113628;;;M 2 S.A.S. di Savino Aldrigo & C.
18571;Esso;45.8138160;13.5131410;;;Stazione di Servizio Esso F.lli Mininel di Mininel Andrea e C. S.N.C.
53483;Eni;45.8112130;13.5217240;;;Eni
29775;Agip;45.9428001;13.6230662;;;Diana Massimiliano
48406;IP;45.9365570;13.5845520;;;M 2 S.A.S. di Savino Aldrigo & C.
47015;Esso;45.9250087;13.6128494;;;Geff S.R.L.
23873;Q8;45.6816568;13.4170650;;;Servizi & Gestioni Italia S.R.L.
30744;IP;45.9044448;13.5371576;;;Ip Services S.R.L.
43179;Esso;45.8835512;13.3084982;;;A.T.G S.A.S.di Marinig Andrea & C.
51813;Q8;46.0080400;13.1214500;;;Q8
37479;Eni;45.9500769;13.0510956;;;Pasutti Marco
47011;IP;45.9423551;13.0591413;;;Geff S.R.L.
50899;Agip;46.0248633;13.1684443;;;fratelli Rinaldi S.N.C. di Matteo e Paolo Rinaldi
45229;IP;46.0355190;13.1526730;;;Geff S.R.L.
46269;gdp;45.8143277;13.3400109;;;Gdp S.R.L.- Cervignano Del F.
